INFO  - 2015-01-04 19:13:02.100; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-04 19:13:02.100; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-04 19:13:02.105; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-01-04 19:13:02.235; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-01-04 19:13:02.235; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-01-04 19:13:02.520; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-01-04 19:13:02.525; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-01-04 19:13:02.540; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@510cc37a[collection1] main
INFO  - 2015-01-04 19:13:02.560; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf
INFO  - 2015-01-04 19:13:02.565; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf}
INFO  - 2015-01-04 19:13:02.570; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf
INFO  - 2015-01-04 19:13:02.700; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf
INFO  - 2015-01-04 19:13:02.705; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-01-04 19:13:02.705; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2015-01-04 19:13:02.705; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf
INFO  - 2015-01-04 19:13:02.710; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf
INFO  - 2015-01-04 19:13:02.710; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2015-01-04 19:13:02.715; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2015-01-04 19:13:02.720; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2015-01-04 19:13:02.720; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\conf
